# COLMAP_ID X Y Z
1469 -281.049 -217.692 817.601
1468 -321.659 227.35 160.582
1464 -348.069 208.849 218.082
1455 39.0313 80.9163 118.881
1453 -424.794 177.342 585.211
1450 -447.66 153.902 614.821
1442 -545.027 119.554 801.974
1437 -392.796 46.3021 713.865
1436 -474.142 53.9637 830.357
1435 -169.401 68.6219 1106.73
1434 -242.157 53.6671 917.438
1432 -446.035 43.4416 894.849
1431 -468.149 41.5038 881.518
1424 274.546 -34.2951 1099.67
1421 -261.391 -211.029 782.985
1418 -274.424 -235.862 781.536
1417 119.573 246.243 84.2784
1415 -328.9 220.873 165.717
1413 -355.676 208.418 226.168
1406 -237.885 194.625 717.958
1405 -352.241 150.685 782.817
1402 326.255 69.3401 700.857
1401 69.2961 113.263 1042.31
1400 -1.58829 58.7279 851.822
1399 -359.232 61.262 858.591
1394 286.974 -38.6275 1064.81
1385 -95.3284 -686.274 3968.69
1384 -328.861 218.544 167.508
1382 -93.033 191.982 137.682
1380 -94.043 183.214 143.642
1378 -356.037 199.397 233.503
1376 -223.126 211.419 517.559
1372 -34.0835 59.9796 144.377
1371 -132.92 176.178 831.587
1369 93.5408 73.2311 531.835
1368 93.456 73.1684 532.275
1367 -345.498 115.469 772.999
1365 -572.898 74.2276 897.356
1361 -47.945 64.774 1061.4
1360 -527.553 59.8996 836.592
1359 -311.179 52.5038 924.792
1356 -102.213 -16.278 1661.04
1351 518.655 -220.475 2328.52
1344 -96.5282 198.351 152.19
1343 -259.639 223.462 209.077
1342 -355.194 201.666 241.267
1337 77.7972 74.8085 167.236
1335 -32.4002 58.3591 140.805
1329 69.5947 -24.2651 633.568
1327 -73.4505 -44.1802 1763.73
1322 -281.879 -140.129 1432.92
1315 -19.4056 69.0583 1089.25
1312 -58.5045 65.0055 144.009
1310 -87.7371 -13.5024 1642.65
1309 -297.718 234.766 262.785
1308 -80.2062 171.93 160.689
1307 -80.2062 171.93 160.689
1303 -501.478 81.8202 836.633
1300 -173.691 239.356 168.905
1298 -338.118 206.787 320.875
1296 -427.893 43.8367 1007.01
1289 -700.648 -107.757 1472.2
1285 -311.399 225.521 368.781
1279 -718.178 -112.232 1433.8
1278 -736.05 -138.504 1551.46
1275 -343.543 196.797 303.04
1274 -98.0116 124.405 163.793
1267 -297.521 232.381 170.985
1264 -330.988 213.365 333.828
1258 -19.6342 36.5027 155.566
1252 -400.611 70.6319 828.683
1250 -302.534 51.0472 803.604
1249 -398.5 49.008 844.393
1245 -706.094 -90.7284 1423.28
1242 384.048 -451.014 3441.75
1239 117.171 -234.53 641.837
1233 -66.5373 115.79 148.648
1232 -126.05 216.067 619.389
564 -35.4462 53.782 144.439
541 -92.3371 189.364 149.893
539 226.352 149.525 65.0959
536 311.084 161.612 991.707
531 338.837 14.1929 719.996
524 217.505 166.053 65.4036
523 220.175 155.867 64.6785
521 212.664 147.291 68.1996
516 -78.4387 158.683 144.729
515 137.43 112.769 91.3093
514 -93.6997 104.006 152.581
513 -60.2904 92.9784 145.914
510 -68.8659 82.0392 148.612
507 -165.736 180.822 771.63
505 272.3 160.13 1045.75
489 218.328 161.522 63.9657
488 -97.8329 195.262 153.167
484 -80.3743 167.277 146.618
482 175.87 136.583 78.3102
481 -80.7641 161.978 143.453
477 173.746 121.841 77.4595
473 -66.2809 119.376 147.202
471 -63.5975 106.52 147.682
466 14.8562 68.1381 126.989
461 -6.77325 63.4252 132.462
458 -223.658 159.4 795.143
457 -38.4152 37.1893 141.307
455 345.092 10.9724 700.083
454 189.316 48.844 1217.41
451 -149.506 -1.80268 1205.76
445 266.25 -504.822 3348.43
444 -553.739 -459.831 2818.82
442 207.443 188.29 62.401
440 208.931 147.525 69.6816
439 -90.4859 181.755 151.996
435 -88.4547 178.477 150.994
432 -74.6236 170.39 146.481
431 216.738 133.095 63.6715
430 216.738 133.095 63.6715
428 155.145 129.095 85.8024
425 -80.5344 144.43 147.636
424 -80.5344 144.43 147.636
410 -27.141 53.5899 997.494
408 -269.24 53.768 1110.19
404 -119.957 -38.1204 1673.44
401 -159.345 -70.7773 1163.63
399 -313.896 -109.642 1555.08
2754 -11.4498 170.197 781.248
2751 -226.291 56.7058 944.063
394 254.192 -461.921 3154.28
2748 -388.552 43.3921 1085.51
388 340.831 -271.153 561.248
2740 59.2511 81.1919 112.876
382 -85.7217 194.715 145.649
378 -78.1108 179.567 145.456
374 -85.5769 155.362 149.853
372 194.385 115.173 70.0977
368 -68.2459 128.19 145.82
365 73.4226 84.4577 111.399
2719 515.865 -201.35 2251.4
2718 85.128 85.4298 105.652
356 -96.178 -10.9451 1665.13
355 278.108 -69.7597 1079.73
2711 -436.472 29.7742 1049.75
354 -115.462 -56.3458 1602.21
353 908.936 -219.997 2630.5
352 142.162 -167.299 3047.4
2708 -137.003 59.1926 1177.76
2707 106.29 -261.066 541.193
2706 -305.901 -160.789 1573.58
343 531.043 -459.669 3194.64
2699 -30.6422 62.604 140.074
341 216.211 -437.306 3187.8
2694 44.7548 124.445 984.833
2686 -76.0758 57.4381 242.337
2685 -328.086 45.436 999.581
2683 380.865 -2.74367 781.108
326 161.278 136.87 82.8843
2681 -807.739 -294.19 3003.88
2481 -275.987 -236.985 784.215
124 -39.88 -152.299 1617.9
2480 -677.467 -827.015 3882.46
2479 -133.639 -263.358 509.57
122 18.3419 -402.032 1267.08
1231 -361.993 181.734 659.579
120 81.5749 87.0886 107.848
118 75.5055 84.8229 109.187
1226 -218.344 56.4703 947.395
2473 209.746 122.176 69.9192
1225 -410.623 64.8455 839.81
115 58.6957 81.5393 114.676
113 -35.3188 63.4603 140.301
2466 132.367 -14.0851 755.358
1218 -539.911 -101.721 1568.01
108 81.7481 -38.144 1142.23
1217 -539.634 -101.694 1566.13
2464 -308.035 48.9016 941.769
1216 -629.524 -103.6 1492.91
106 -37.4515 -672.075 4001.64
2462 -134.281 -9.34945 1650.44
1214 195.107 -161.818 595.435
2460 495.114 -349.283 3274.26
102 -77.404 146.393 149.536
2458 -111.062 -419.546 2978.42
2454 -1299.99 -576.403 3817.66
96 4.87776 73.5284 128.426
2449 -71.5266 97.6752 147.432
2447 294.397 128.844 1118.78
2445 -192.25 122.545 1750.87
1197 -29.8929 77.6959 1067.6
2444 -163.713 9.2969 541.244
87 38.543 74.744 119.507
2443 282.933 -14.5638 1067.58
85 -33.0769 61.6298 140.13
1190 -111.305 61.6664 1147.66
80 -39.8761 64.915 142.347
79 -26.6941 59.8366 139.448
2435 -121.147 -32.0802 1672.98
78 -26.4998 59.8987 139.805
2434 900.026 -200.995 2611.76
1186 -358.525 44.916 1084.02
2433 218.886 -149.04 622.949
76 -22.7427 51.0066 136.447
1185 -522.664 44.5513 841.273
2432 -60.1916 -150.126 1407.88
2431 539.547 -313.987 3187.74
74 -78.54 159.194 145.899
1183 -155.344 4.42601 1599.69
72 -79.3007 116.341 149.513
2427 -74.5904 -662.545 3941.51
69 28.4433 74.533 122.31
2425 -493.598 -481.468 2644.04
68 28.5002 74.5911 122.509
1177 113.788 -235.827 554.943
2424 -199.366 -266.753 493.597
67 13.6415 71.7847 126.9
1176 -292.248 226.075 388.327
2423 -1249.3 -806.403 3563.27
66 26.5052 70.448 122.647
1175 -71.6186 123.624 142.884
2422 173.077 123.494 77.1972
64 5.29998 70.197 129.813
1173 -235.873 210.188 508.032
604 85.295 89.1682 120.434
63 -5.63488 67.7101 132.172
603 14.8187 73.5623 126.678
2386 -119.365 -286.017 483.725
1138 -117.07 66.5691 988.46
569 135.086 120.19 92.8938
1137 -89.648 66.5255 1027.68
2642 -518.379 34.5197 937.54
568 130.898 98.0799 91.5369
2384 371.933 8.7217 738.358
1136 -120.681 67.0918 1115.19
2641 -281.156 28.7395 780.246
567 -70.5405 112.445 150.75
2383 66.689 -34.537 1132.19
1135 -144.662 66.3511 1116.69
2382 1092.84 -318.35 2673.61
25 -82.4515 152.856 148.579
1134 -266.868 56.3937 1015.57
565 -67.8335 98.9791 150.567
281 58.9093 155.674 510.952
1131 -534.466 57.9114 858.026
2636 -88.1426 71.6467 1068.45
1130 -532.838 45.4513 858.074
2635 6.57568 82.6224 1072.92
278 51.6025 -14.0957 1151.78
561 316.975 -65.8744 972.392
2376 -625.357 -236.071 2805.95
19 -76.6944 213.714 141.811
18 -107.522 209.595 154.102
1126 -675.173 -78.8613 1408.81
2373 -806.647 -250.073 2749.14
1124 548.17 -456.737 3144
272 -88.7843 -18.8211 1663.69
2371 533.134 -480.186 3257.98
14 -69.2976 123.319 144.797
542 477.611 -294.433 589.834
1 80.1349 85.8247 108.455
258 608.188 -455.423 3065
543 486.896 -284.904 588.005
2616 -555.618 36.7349 998.245
544 463.561 -223.511 648.433
545 -135.088 -41.0994 1466.62
4 -66.0943 70.6059 146.925
548 361.951 110.975 745.268
551 445.567 136.462 457.899
2624 -67.5603 84.244 145.795
552 -63.6824 99.5149 148.002
268 -85.6558 -34.994 1673.45
571 162.167 120.154 85.6671
2387 -410.29 -712.448 3872.85
2644 -184.073 171.612 841.865
572 -79.2515 209.208 147.541
573 -79.2515 209.208 147.541
2389 254.342 -444.495 3160.84
