# COLMAP_ID X Y Z
125 2.35712 0.107494 144.82
16 -0.0159976 0.811833 189.995
93 2.18313 -0.850968 144.953
294 1.82884 -0.830623 145.207
37 -0.224216 0.97493 195.071
117 2.74443 -0.08969 144.55
27 2.72906 0.0310182 144.545
281 3.42471 0.338397 199.209
24 2.27995 0.400695 144.85
104 2.05827 0.406757 144.919
292 3.28869 -0.475 145.23
35 1.79043 0.207046 145.318
115 0.878596 -0.115446 146.835
25 1.97555 0.460482 144.974
282 12.2583 4.93088 136.796
279 3.10738 -0.424422 145.233
22 -0.295835 -0.0195564 152.597
102 3.25707 0.313496 145.296
112 1.20961 0.674387 145.327
99 0.914596 0.507869 182.276
34 2.27953 0.191407 144.833
111 1.94742 0.584575 145.333
21 2.29527 0.351154 144.788
278 3.25646 -2.10572 195.926
98 3.31552 0.19131 145.152
33 3.36872 0.134665 145.607
110 0.931491 0.536347 145.487
28 -0.203716 0.234483 189.233
105 2.05827 0.406757 144.919
26 1.23968 0.643042 145.347
280 7.53748 -0.653806 205.812
23 1.09355 0.416267 145.439
103 3.22074 0.358461 145.176
101 1.7923 0.312742 145.118
100 2.39649 0.282444 144.744
121 0.810102 0.0746176 186.546
120 2.35892 -0.00273846 144.749
119 2.35892 -0.00273846 144.749
118 2.74443 -0.08969 144.55
116 0.878596 -0.115446 146.835
114 2.56733 -1.44546 144.734
113 1.20961 0.674387 145.327
109 -1.40155 0.176498 154.738
108 -0.467077 0.0812193 151.877
107 -0.467077 0.0812193 151.877
106 3.35919 0.380266 145.663
97 2.17492 0.186608 144.903
96 2.59194 0.108942 144.64
95 2.3993 -0.10074 144.688
94 1.73227 -0.538459 145.411
36 1.79043 0.207046 145.318
38 1.45022 0.241331 163.896
39 1.74014 0.315039 145.141
40 0.947773 0.424725 145.721
41 1.44867 0.440564 145.304
42 3.74009 0.812206 200.309
43 0.93146 0.570083 145.504
44 1.4753 0.568305 145.238
45 2.25385 -1.13827 144.959
46 2.25385 -1.13827 144.959
47 1.72674 -1.12479 145.329
48 1.72674 -1.12479 145.329
49 1.63118 -1.10954 145.518
50 2.17859 -0.935805 144.961
51 1.86676 -0.875965 145.181
52 1.86676 -0.875965 145.181
53 2.61787 -0.680305 144.624
54 1.71131 -0.575612 145.41
55 3.41872 -0.6574 146.701
56 5.00132 -1.24382 179.366
57 5.00132 -1.24382 179.366
58 1.81575 -0.511098 145.162
59 1.72213 -0.493377 145.304
128 0.869836 0.23784 172.794
129 1.25121 0.0824565 165.14
130 2.05613 0.24495 144.959
131 2.55762 0.434491 186.853
132 1.40005 0.357866 145.332
133 2.06098 0.384802 144.992
134 2.06098 0.384802 144.992
135 2.12242 0.427934 144.908
136 1.58227 0.493329 145.333
137 1.146 0.63595 145.361
138 1.28771 0.649089 145.306
139 1.09335 0.698769 145.367
140 1.09226 0.69969 145.305
141 0.0557285 -3.38671 193.208
142 2.20478 -1.17221 145.005
143 2.20437 -1.17097 144.977
144 0.136303 -2.75258 193.78
145 2.22524 -0.904863 144.928
146 2.65215 -0.724915 144.654
147 2.27574 -0.650848 144.883
148 4.52742 -1.36628 199.008
149 3.1098 -0.424304 145.267
150 2.71752 -0.222186 144.55
151 2.71835 -0.221804 144.567
152 2.34715 -0.138923 144.789
153 1.19807 -0.379072 186.573
154 2.76534 -0.0183273 144.572
155 2.70098 0.0500673 144.557
156 2.68566 0.134301 144.577
157 0.472722 0.36868 184.289
158 0.472722 0.36868 184.289
159 1.92889 0.251645 145.074
160 1.92889 0.251645 145.074
161 3.5238 0.225536 146.51
162 1.89251 0.338973 145.06
163 3.33205 0.293439 145.496
164 3.24676 0.419195 145.027
165 -0.566377 0.18762 149.446
166 1.77453 -1.0927 145.271
167 1.04004 -2.60567 194.293
168 2.27588 -0.649237 144.854
169 1.74557 -0.629095 145.308
170 1.90535 -0.302705 145.096
171 5.9317 -1.18935 202.495
172 1.9297 -0.0354749 145.03
